110,14.52,0.00,0.00,0.00,0.00
120,17.02,0.00,0.00,0.00,0.00
130,20.43,0.00,0.00,0.00,0.00
140,10.88,0.00,0.00,0.00,0.00
150,17.90,0.00,0.00,0.00,0.00
160,23.25,0.00,0.00,0.00,0.00
170,16.15,0.00,0.00,0.00,0.00
180,19.47,0.00,0.00,0.00,0.00
190,19.91,0.00,0.00,0.00,0.00
200,26.05,0.00,0.00,1.90,0.00
210,24.83,0.00,0.00,1.91,0.00
220,23.48,0.00,0.00,2.42,0.00
230,24.45,0.00,0.00,2.42,2.20
240,26.37,0.00,0.00,2.42,6.28
250,24.25,0.00,0.00,2.42,6.28
260,22.54,0.00,0.00,2.42,6.85
270,22.11,0.00,0.00,2.42,6.85
280,23.78,0.00,0.00,2.42,6.85
290,17.84,0.00,0.00,2.42,6.85
300,21.53,0.00,0.00,2.42,6.85
310,21.16,0.00,0.00,2.42,6.85
320,22.82,0.00,0.00,2.42,6.85
330,17.79,0.00,0.00,4.08,6.85
340,19.29,0.00,0.00,4.08,6.85
350,22.29,0.00,0.00,4.08,6.85
360,23.40,0.00,0.00,6.47,6.85
370,23.23,0.00,0.00,6.47,6.85
380,20.27,0.00,0.00,6.47,6.85
390,24.15,0.00,0.00,6.47,6.85
400,23.15,0.00,0.00,6.47,6.85
410,11.12,0.00,0.00,0.00,0.00
420,16.71,0.00,0.00,0.00,0.00
430,10.71,0.00,0.00,1.10,0.00
440,11.12,0.00,0.00,0.00,0.00
