game,score,mean_score
10,0,0.1
20,0,0.1
30,0,0.06666666666666667
40,0,0.1
50,0,0.1
60,0,0.1
70,0,0.1
80,0,0.0875
90,0,0.08888888888888889
100,0,0.09
110,0,0.09090909090909091
120,0,0.09166666666666666
130,0,0.08461538461538462
